Hindi,Bhili
मैं आपकी ओर ध्‍यान नहीं दे सकती। इसके लिए क्षमा कीजिए।,में तोरा घणी ध्‍यान नी दी सोको तेर बोदले तु मेसेक माफ कोरजी
वह सेवा कार्य में मग्‍न हो गया।,पोलु सेवान काम का मग्‍न होई गियु
दो व्‍यक्ति गंगा स्‍नान करने गए हैं।,दूई जोणा गोंगा उन्‍घेलने गिया छे।
यह पवित्र गंगामाई है।,जी चुखली गंगा माई छे
शरीर की गंदगी निकल जाएगी। ,देहिन मियल निकली जासे
मन का मैल कैसे धुलेगाॽ,मोन नु मियल कोसु धुवायसे
स्‍नान करके सूर्य नमस्‍कार करने वाले को व्‍यायाम का फल मिलेगा।,उघलीन सूर्य नमस्‍कार कोरे तीना कोजे व्‍यायाम नु फोल जोडसे
सुकरात को विष देकर मारने की सजा दी गई।,सुकरात कोजे जोहेर आपीन मारणेनु सोजा आपी
मैं अब बूढ़ा हो गया हूँ।,में हेय डाहलु होय ज्‍यू
आप लोग कौन-सी बहादुरी कर रहे हैं।,तु काहनी बहादूरी कोरने मोडिरियु
यह शरीर एक दिन अवश्‍य मरने वाला है।,ज्‍यो शरीर एक दाहडे ते मोरसेत
वे अक्‍लमंदी से मुझे मारेंगे।,चे ओकोल लगाडीन मेरे मारसे
तुम समझदारी से मुझे मारोगे।,तु समझदारी से मेसेंग मारसी
तुम कौन होॽ,तु कुन छे
आत्‍मा अमर है।,आत्‍मा अमर छे
वह किसकी सेवा कर रहा थाॽ,चु कुणीन चाकरी कोरतेलु
हमें मध्‍यप्रदेश की पवित्र नदियों के बारे में जानकारी होना चाहिए।,आन्‍हुग मध्‍यप्रदेशनी पोवित्र नोंदीन बारा मां जानकारी चाहे
हमें सूर्य नमस्‍कार करना चाहिए।,हामुंग सूर्य नमस्‍कार कोरणु चाहे
"जो पैदा हुआ है, उसकी मृत्‍यु निश्चित है।",जो पोईदा होयों तीनान मौत तो आवसे
उसे गॉंव लौटना पड़ा। ,तीना काजे गांव जानु पोडीयों
घर की सारी जिम्‍मेदारी अब उसके कंधों पर थी।,घोर नु सुब जिम्‍मेदारी हेय तेर कांधा पोर आय गुई
वह बस में बैठ गया। ,पोलु बस मां बोठी गियु
डाइवर बस चला रहा था।,डाईवोर बोस चालाहडतेलू 
उसेन बस का टिकट खरीदा।,चू बोस नु टिकट लेधी
वह ट्रेन में बैठा।,पोलु रेल मां बोठू
ट्रेन पटरी पर चलती है।,रेल पाटरी पोर चाले
वह खिड़की से झांक रही है।,पोल खीडकी मां झाकणे मोंडी‍रोया
बाहर बारिशा हो रही है।,बाहर पाणी पोडने मोंडिरोयू
वह नदी का पुल पार कर रहा था।,पाेलू नोंदीन पूल पार कोरतेलु
वह गठरी पीठ पर लिए हुए था।,पोलू ढोंगरा पोर गाठणो उचकी रोहलू
वह खेल रहा था।,पोलू खेलतेलू
उसकी गठरी पानी में गिर गई।,तेर गाठणो पाणी मां हिटी पो‍डयों
वह नदी में कूदा।,पोलू नोंदी मां कूदी पोडयू 
उसे  तैरना आता था।,पोलाक तीरने आवेडतेलों
उसने अपनी गठरी उठाई।,चु आपणी गाठणों उचकीयों
वह नदी से बाहर आ गया।,पोलू नोंदी बाहर आई गियू
उसने कपड़े सुखाये।,चु पुथलिया सुकाडियां
अब वह घर को गया।,हेय चु घोर गियू
मेरा भाई मेर साथ था।,मार भाईस मार पुठे होतलू
बाग में सुन्‍दर-सुन्‍दर फूल खिले हैं।,बोगीचा मां वारू-वारू फूल खिलतेला
रंगबिरंगे फूल सुन्‍दर लग रहे हैं।,रंगबिरंगा फूल वारू लागतेला
फूलों पर तितलियां मंडरा रही है। ,फूल पर फूंदी फिरणे मोंड रोय
ति‍तलियां रंगबिरंगी होती है।,फूंदी भाते भाते रहे
खेत में किसान काम कर रहा है। ,खेत मा किसान काम कोरणे मोडरिया
किसान खेल जोत रहा है। ,किसान हल चलावणे मोडरियु
किसान हल चला रहा है।,किसान हल चलाडे
किसान के पास दो बैल है।,किसान पास दूई बैल छे
खेत में फसल लहलहा रही है।,खेत फसल वारू होय रही
गेहूं की फसल कट रही है,गेहूं की फसल काटने मडरिया
खेत में गेहूं की बोंरियां रखी है।,खेत मां गोंहून धयला मकीया हो
नहर से पानी बह रहा है।,नेहर से पाणी उहे
पेड़ो को पानी देना है।,झाडकान पाणी आपणु छे
खेतों के आस-पास मेंड बनी होती है।,खेतेम मेरेे मेरे पालु बनावे
स्‍वच्‍छ पानी पीने योग्‍य होता है।,साफ पाणी पिये तसलु रहे
वह अपनी मां के साथ काम कर रही हूं।,पोली आसी भेली काम करे
पेड़ पर झूला डला है।,झाडका पर झुली बांधी से
बच्‍चे पेड़ पर लटक रहे हैं।,पुररीया झाडका पर टागायें छे।
कुछ बच्‍चे झूला झूल रहे हैं।,थुडांग पुरीया झली हिचकाये
वह पेड़ की छांव में बैठा है।,पलो झाडकान साहले बठू
नीम का पेड़ आक्‍सीजन देता है।,नीमडान झाडको चुखली वाहली आपे
हमें पेड़ पौधों को नहीं काटना चाहिए।,हामुक झाडका नी काटणु चाहे
पेड़ पौधे पानी का बचाव करते हैं।,झाडका पाणी वाचाणे
पेड़ पौधे बारिश का पानी सीखते हैं।,झाडका वरसातनु पाणी खेंचे ।
एक दिन बेटा अपनी मॉं को जंगल ले गया।,एक दन सोरो ईनी मॉं ने जगल मॉ ली गेलो।
जंगल में एक पेड़ के नीचे बैठा दिया।,डूँगर मां एक झाड नी हेटळ बहाड दीदी।
जंगल में लकडि़यों का ढेर इकट्ठा कर लिया।,डूंगर मां लाकडा नो ढगलो करी दिदो
उसे याद आया कि वह माचिस तो लाना ही भूल गया।,तिन ध्‍यान आयु की दिवासली लावा नु भूली गियो
वह माचिस लेने घर गया।,त्‍यों दीवासली लेवा घेर ग्‍यों
उसने सूखी लकड़ी के ढेर में आग लगा दी।,तिनाही सुकेला लाकडा मा वाहदी घाल दीदी
तब तक बूढ़ी मॉं वहॉं से भाग जाती है।,ताहर तक डाही आया नाही पडी
कुछ दिनों बाद मॉं बहुत-सा धन लेकर आती है।,थोडा दन पसे डाही आया जबरो धन लयन आवी
बहु को लगा कि मरने के बाद बहुत-सा धन मिलता है।,वव ने लागीयू की मरी जाय घणु बदू धन मळी जाय
वह भी जंगल जाती है।,तियें भी डूंगर जावा लागी
जंगल में जाकर स्‍वयं को आग लगा लेती है।,डूंगर मां जाय पोते वाहदी घाल ले
इस प्रकार लालच में पड़कर दुष्‍ट बहुत स्‍वयं को नष्‍ट कर देती है।,आवी रिते लालच मां आवी ने पोताने खतम करी नाखे
आदिवासियों में कई देवी-देवता होते हैं।,आदिवासीयों मां जबर देवी देवता से
उनमें से एक बड़ा देवता होता है।,इनामा एक मोटो देव रे से
बड़ा देवता परिवार को सुरिक्षत रखता है।,मोटु देहरू परिवार ने सुरक्षित राखे से
गॉंव में स्थित ठाकुर देव सारे गॉंव की रक्षा करते हैं।,गांव मां बठो बाबा देव पुरा गांव नी रक्षा करें।
बीज बोने से पहले बीजों को ठाकुर देव के स्‍थान पर एकत्र किया जाता है।,दाणा वोरवा थी पेहला देव नी जगह पर भेळा करे।
ठाकुर देव की पूजा की जाती है।,बाबा देव नी पूजा करे
गॉंव के एक व्‍यक्ति को भाव आता है।,गांम मां एक आदमी ने भार आवे
उसी समय गॉंव के लोगों की समस्‍या का समाधान किया जाता है।,इना समय गांव ना लोगों नी परेशानी नु समाधान थाय से
हर तीन साल में ठाकुर देव के स्‍थान पर बकरे की बलि दी जाती है।,हर तीन वराह मां बाबा देव पर बोकडो मारे
ठाकुर देव प्रसन्‍न हो जाते हैं।,बाबो देव भारी खुश थाय जाये
यदि किसी को सर्प काटा है तो ठाकुर देव को बुलाया जाता है।,तेर कईना सांप कईडे तेर बाबा देव ने बोलावे से
जागरण बैठाकर गीत गाते हैं।,बदा जागरण करीने गायणु गावे से
जंगल में दो हाथी आपस में सच्‍चे मित्र थे।,डूंगर मां बे हाथी सासा दोस्‍त हुता
आपस में उनमें झगड़ा हो गया।,आपस मां तिहूनो झगडो थाय गयों
लड़ाई करते-करते पेड़-पौधों को तोड़ रहे थे।,झगडो करता करता पेड पौधा ने तोडवा मडया
शेर इस झगड़े को देख रहा था।,नाहर इनानो झगडो भाळतेलो
वह बचाने के लिए आगे आया।,त्‍यों वसाडवा हारू अगळ आयो
शेर को देखकर दोनों हाथी खुश हुए।,नाहर ने भाळीन बेहे हाथी खुश थाया
उन्‍होंने आपस में समझौता कर लिया।,इनाई आपस मा समाधान कर लिदो
बहुत दिनों की बात है।,घणा दन नी वात छे।
गॉंव में एक किसान रहता था।,गांमडा मां एक किसान रेहतो हुतो
जो एक चिडि़या से परेशान था।,तियो एक पोदिया थी परेशान हुतो
वह खेत में बीज डालता था।,त्‍यो खेतर मां धान नाखतेलो
चिडि़या आकर उसे चुग लेती थी।,सरकलु आवी ने दाणा खाई जाए
किसान ने चिडि़यों को परेशान करने का सोचा।,किसाने सरकला ने परेशान करवानो विचार करयो
किसान ने बीज के साथ जहर भी मिलाकर खेतों में डाल दिया।,किसाने दाणा भे‍ळु जहर मेळवी ने खेतर मां वावणी करी दिदी
दोनों चिडि़यों की चोंच लम्‍बी थी।,बेहे सरकलां नी चांस भारी लाम्‍बी हुती
चिडि़या आपस में बातें कर रही थीं।,सरकलां आपस मां वात्‍यो करतेला
आदिवासी जनजाति शराब पीकर मतवाले हो गये।,आदिवासी जनजाती दारू पीने मतवाला थाय गया
एक जंगल में शेर व अनेक जानवर रहते थे।,एक डूंगर मां नाहर ने घणा जानवरू रेहतेलां
एक दिन जंगल में घूमते हुए हिरण और चूहे की मुलाकात हो गई।,एक दन डूंगर मां फरतेला तेर हणिया नी ने उन्‍दरा नी मुलाकात थाई गी
चहे ने कहा भाई यह शेर तो अब तुम्‍हें खा जाएगा।,उन्‍दराई किदू भाई नाहर तन हाव खाय जाहे
मैं तो कहीं भी छूप जाऊँगा।,हुं तो कई भी हताई जाए
हिरण चूहे कहता है।,हणियु उन्‍दरा केहवा लाग्‍यु
हिरण चूहे से कहता है।,हणियु उन्‍दरा ने केहवा लाग्‍यु
तुम इसी दिन के लिए मेरे दोस्‍त बने थे।,तु आना दन हारू मोरो दोस्‍त बणेलो कि
मुश्किल पड़ने पर बदल गये।,दाहडा पडया तेर तु बदली ग्‍यो
बस वह एक शेर है।,बस त्‍यो एक नाहर छे।
अगर तुममें हिम्‍मत होती तो हम शेर से मुकाबला करते।,अगर तारा मा हिमत होती तो तु नाहर थी मुकाबलो करतो
चूहे को बल प्राप्‍त हुआ।,तेर उन्‍दराने हिम्‍मत आवी हो
दोनों शेर से मुकाबला करने गए।,बेहे नाहर नो मुकाबलो करवा गया
शेर वहॉं से भाग गया।,नाहर तयथी नाही गयो
भारत हमारा देश है।,भारत आपडु देश से
हम सब भारतीय आपस में भाई-बहन हैं।,हमु बदा आदिवासी आपस मा भाई बुहन से
हमारा राष्‍ट्रीय ध्‍वज तिरंगा है।,आपणां राष्‍ट्र नो झंण्‍डो तिरंगो से
सफेद रंग सच्‍चाई का प्रतीक है।,धोळो रंग साचा नी ओळखाणी से
हरा रंग खेतों कि हरियाली दर्शाता है।,लिलो रंग खेतर नी लिला लेर वताडे से
केसरिया रंग त्‍याग व बलिदान का प्रतीक है।,केसरियो रंग त्‍याग ने बलिदान वताडे से
15 अगस्‍त 1947 को हमारा देश आजाद हुआ।,15 अगस्‍त 1947 ने दाहडे हमारो देश आजाद थायलो
26 जनवरी 1950 को हमारे देश का संविधान लागू हुआ।,26 जनवरी 1950 नो आपणा देश नु सविधान लागु थायलु
भारत देश की राष्‍ट्रभाषा हिन्‍दी है।,आपणा देश नी राष्‍ट्र भाषा हिन्‍दी से
भारत में अलग-अलग जनजाति निवास करती है,भारत मा बिजी बिजी जाती ना लोग रेह से
भारत देश में विभिन्‍न धर्मों के लोग निवास करते हैं।,भारत मां कई धरम ना लोग रे से
बच्‍चों को माता-पिता का आदर करना चाहिए।,पोरियां ने इना मां बाप नी बदी वात्‍यो मानवी जोवे
माता घर में खाना बनाती है।,मां घेर मां खावानु बणावे
पिताजी काम करने बाहर जाते हैं।,बा बाहर काम करवा जाए
मेरे पिताजी एक किसान हैं।,मार बाह एक किसान से
किसान खेत में काम करता है।,किसान खेतर मां काम करे
खेती से हमें अनाज प्राप्‍त होता है।,खेती से हमुन दाणा जडे
अनाज कई तरह के होते हैं।,दाणा अलग अलग तरेह नो रेहे
गेहूँ से रोटी बनाई जाती है।,गम नी रोटला बणावे
रोटी खाने में स्‍वादिष्‍ट लगती है।,रोटला खावामा घणा वट लागे
मेरी मम्‍मी रोज रोटी बनाती है।,मार मा हरोज रोटली बणावे
हम सब लोग रोटी खाते हैं।,हमु बदा रोटला खाही
रोटी खाने से ताकत आती है।,रोटला खावाथी जोर आवे
आम फलों का राजा है।,केरी फल नो राजा छे
आम खाने में मीठा होता है।,केरी खावा मा गळी लागे से
मेरे घर में आम का पेड़ है।,घेर मा आम्‍बा नु झाड से
उसमें बहुत अधिक आम लगे हैं।,तीमा घणी केरियो लागी री
आम से अचार भी बनाया जाता है।,केरिनु अथाणु भी बणावे
अचार खाने में चटपटा लगता है।,अथाणु खावामा खाटु ने मसाला वारू रे
आम से कई तरह की खाद्य – वस्‍तु भी बनाई जाती है।,केरी थी घणी प्रकार नी खावानी चीजे बणावे से
मेरी मॉं बाजार से फल लाती है।,मारी आया बाजार थी फल लावे से
फलों का रस भी पीना चाहिए।,फल नो रोह हदी पीवू जोवे
रस पीने से शरीर को बल प्राप्‍त होता है।,रोह पिवाथी आपडा शरिर ने घणी ताकत अने जोर आवे
पिताजी के घर जामुन लगे हैं।,बा ना घेर जाम्‍बा लागे से
जामुन पकने लगे हैं।,जाम्‍बा पाकवा लाग्‍या
पके हुए जामुन खट्टे-मीठे लगते हैं।,पाकेला जाम्‍बा खाटा मीठा लागे से
बैतूल जिले में घने जंगल हैं।,बैतुल जिला मा भारी डूंगर से
जंगल से हमें लकड़ी प्राप्‍त होती है।,डुंगर थी हमुने लाकडा मळे से
जंगल में कई तरह की जड़ी-बूटी पायी जाती है।,डुंगर मां घणी प्रकार नी जडी बुटी मळे से
जड़ी-बूटी दवा के काम आती है।,जडी बुटी दवा काम मा आवे से
बीमार पड़ने पर हम दवा खाते हैं।,मान्‍दो पडवा थी हमु दवा खायें सें।
जंगल से फल-फूल भी प्राप्‍त होते है।,डुंगर थी फल फूल हदी मळे से
तेंदू के पत्‍ते से बीड़ी बनाई जाती है।,टिमरवाना पाईडा थी बिडी बणावे
तेंदू की पत्‍ती जंगल से तोड़कर लाते हैं।,टिमरवाना पाईडा डुंगर मा थी तोडी न लावे
मेरे खेत के तालाब में एक कछुआ है।,मारा खेतरना तळाव मां एक कापसु से
कछुआ काले रंग का होता है।,कापसु काळा रंग नु रे छे
वह धीरे-धीरे चलता है।,ती धीरू धीरू चाले छे
खरगोश सफेद रंग का होता है।,सेसलिया धोळा रंग नु रे छे।
खरगोश तेज दौड़ता है।,सेसलियो भारी जोर नु दोडे से
खरगोश और कछुएं की दौड़ मे कछुआ जीता।,सेसलिया ने कापसा नी दौड मां कापसु जीती गयु।
कछुएं के चार पैर होते हैं।,कापसा ना चार पोग रे से
खरगोश के भी चार पैर होते हैं।,सेसलिया ना भी चार पोग रे छे।
दोनों पालतू जानवर हैं।,आ बेहे पाळवाना जानवर छे
"जानवर दो तरह के होते हैं, पालतू जानवर और जंगली जानवर",जानवर बे प्रकार ना रे पाळवाना जानवर अने डूंगर ना जानवर
पालतू जानवरों को घर में रखा जाता है।,पाळेला जानवर ने घेर मा राखे से
जंगली-जानवर जंगल में रहते हैं।,डुंगोरी जानवर डुंगर मां रे से
जंगली-जानवर पेड़-पौधों के फल-फूल और पत्तियां खाते हैं।,डुंगोरी जानवर झाडना फल फूल अने पायडां खाए छे
आज रविवार है।,आज तो दितवार से
रविवार के दिन छुट्टी रहती है।,दितवार ने दन रज्‍जा रे से
छुट्टी के दिन परिवार के सब लोग घर में रहते है।,रज्‍जा ने दन घेरना सब मनखु घेर मां रे छे
सब लोग एक साथ बैठकर खाना खाते है।,बदां मनखु एक साथे बहीने खावानु खावे
दादी-दादी भी साथ में खाना खाएंगे।,दादा दादी भी साथे बहीने खावाना छे।
मेरी दादी बहुत अच्‍छी है।,मारी डाही आया भारी असलन से।
वह मुझे नई-नई चीजें दिलाती है।,ती मने नवी नवी वस्‍तुऐ अलाडे।
दादाजी आराम कर रहे हैं।,डाहो बा ते आराम करी रयो।
पिताजी देर से आयेंगे।,बाह वार थी आवहे।
माताजी अभी सो रही हैं।,मारी आया हमणां सुती छे
माताजी बाजार से सब्‍जी लाती है।,मारी आया बाजार थी सब्‍जी लावे छे
बाजार में जलेबी भी मिलती है।,बाजार मां जलेबी हदी मळे छे।
जलेबी बहुत मीठी होती है।,जलेबी जबरी गळी रे छे
बच्‍चों तुम्‍हारे जिले में कितनी नदियॉं हैं।,पोरियां तमारा जिला मां केतरी नदियो से
सर हमारे जिले में दो नदियॉं हैं।,सर हमारा जिला मां ते नदियो छे।
नदियों के नाम बताओ।,नदियो ना नामु वताडो
"गंगा, यमुना नदियॉं बहती हैं।",गंगा यमुना नदियों वेहे छे।
आपके खेत के पास कौन-सी नदी है।,तमारा खेतर नी मेरे कईनी नदी छे
हमारे खेत के पास यमुना नदी है।,हमारा खेतर नी मेरे यमुना नदी छे
आप कितनी नदियों के नाम जानते हो।,तमे केतरी नदियों ना नामु जाणो छे
सर मुझे पॉंच नदियों के नाम मालूम हैं।,सर मने पांच नदियां ना नामु मालम छे।
नदियों के नाम बताओ।,नदियो ना नामु वताडो
"चंबल, बेतवा, ताप्‍ती, यमुना",चंबल बेतवा ताप्‍ती अने यमुना
कौन-सी नदी का पानी पवित्र मानते हैं।,कइनी नदी नु पाणी तमे पवित्र मानो छे
गंगा नदी का पानी पवित्र मानते हैं।,गंगा नदी नु पाणी हमु पवित्र जाणु मानियी छे
जल ही जीवन है।,पाणी ही जीवन छे
पीने का पानी मैं कुएं से लाता हूँ।,पीवानु पाणी हु कुवा थी लावु छे
गॉंव में तालाब से पानी लाना पड़ता है।,गांमडा मा लळाव थी पाळी लावु पडे छे।
हमारे गॉंव में नल नहीं है।,हमारा गांमडा मां नळ नथी ।
"हमें नदी, तालाब के पानी को गंदा नहीं करना चाहिए।",हमुने नदीनु तालावनु पाणी ने खराब नी करवानु
गर्मी में ज्‍यादा पानी पीना चाहिए।,गरमी मां वदार पाणी पीवु जोवे
मेरे घर में नल नहीं है।,मारा घर मां नल नी मले
मुझे पीने का पानी साथ में लाना पड़ता है।,हमुन पीवानु पाणी साथे लावु पडे
मेरे घर में मेरे पापा पानी भरते हैं।,मारा घर मा बापो पाणी भरे
हमें पानी नहीं बहाना चाहिए।,हमुन पाणी नी वगाडवु जोवे।
पानी स्‍वास्‍थ्‍य के लिए लाभदायक होता है।,पाणी स्‍वास्‍थ्‍य हारू लाभदायक से
पानी के बिना मनुष्‍य जीवित नहीं रह सकता।,पाणी वगेर माणाह जीवतु नी रे
सर मैं पॉंचवी कक्षा में पढ़ता हूँ।,माटसाब हुं पांचवी कक्षा मां भणु
बेटा आप घर में कितने भाई-बहन हो।,पोरीया तम घर मां केतरा भायडा
सर हम चार भाई-बहन हैं।,सर हमु चार भायडा
बेटा आपके पिताजी क्‍या करते हैं।,पोरीया तारो बापो सु करे
सर मेरे पापा पुलिस में नौकरी करते हैं।,सर मारो बापो तरकडा नी नौकरी करे
बेटा आपको घर पर कौन पढ़ाता है।,पोरींया तमारा घरमा कुण कुण भणे से
सर मुझे घर पर मेरी मम्‍मी पढ़ाती है।,मारा घर मा मारी मॉं भणावे
सीता व गीता बाजार जा रही हैं।,सीता ने गीता बजार मा जायरीयो
वे घूमने जा रहे हैं।,ती फरवा जाय रीयो
वहॉं एक तालाब है।,तय एक तळाव से
तालाब के किनारे एक पेड़ है।,तळाव नी धेडे एक झाडकु छे।
पेड़ पर पक्षी बैठे हैं।,झाडका पर पक्षी बठु
पेड़ पर मैना ने घोंसला बनाया है।,झाडका पर मैना ही गेहलो बनायो।
मैना गाना गा रही है।,मैना गीत गायरी
तोता आम खा रहा है।,पोपट केरी खाय रो
तालाब में मछलियॉं हैं।,तालाब मां माछला रे
राम फल खा रहा है।,राम फल खाय रो
तालाब के किनारे आम का पेड़ है।,तालाब नी पाळे आम्‍बा नु झाड रियु
मैदान में बच्‍चे खेल रहे हैं।,चेकला मार पोरिया रमतेला
आम मीठा होता है।,केरियो गलियो हुतीयो
बच्‍चे आम खा रहे हैं।,पोंरिया केरियो खायरीया
बच्‍चे पेड़ के नीचे बैठे हैं।,पोरिया झाडका हेटल बैठा
रमेश विद्यालय जाता है।,रमेश निहाले जाय
विद्यालय में शिक्षक पढ़ाते हैं।,निहाल मो मासतर भणावे से
विद्यालय में एक खेल का मैदान है।,निहाल मा एक रमवा नो चोकलो से
मैदान में बच्‍चे खेलते हैं।,चोकला मां पोरिया रमतेला
बच्‍चे गेंद से खेल रहे हैं।,पोरिया गोटो रमतेला
पेड़ की पत्तियां हरी है।,झाडका ना पायडा लीला रे
माली पेड़ में पानी डाल रहा है।,माली झाड ने पाणी आलतेलो
कुऍं के पास बच्‍चे नहा रहे हैं।,कुवा नी मेरे पोरिया उंगलतेला
वहॉं एक बाल्‍टी रखी है।,तय एक डोलसी मेकेली
खेत में गेहूँ की फसल लगी है।,खेतर मा गम नी फसल उगाडी से
संतरा मीठा होता है।,मोसंबी गली रे
वहॉं हैंडपम्‍प लगा है।,तय हैडपम्‍प रियो
महिला कपड़े सुखा रही है।,औरत सितरा सुकाडतेली
बच्‍चा क्‍यों रोता हैॽ,पोरिया हुका रडे
मालती पूजा करती है।,मालती पुजा करती हुती
कोयल का रंग काला होता है।,कोयल नो रंग काळो रे
कोयल कुहू-कुहू बोलती है।,कोयल कहू कहू बोले
कोयल की आवाज मधुर व सुरीली होती है।,कोलय नी आवाज मीठी ने सुरीली आवे
चिडि़या घोंसले में रहती है।,सरकला गेहला मा रे
बंदर पेड़ पर रहता है।,वांदरा झाडका उपर रे
शेर जंगल में रहता है।,नहार जंगल मां रे
शेर जंगल का राजा होता है।,नाहार जंगल नो राजा केहवाय
शेर मांसभक्षी होता है।,नहार मांसाहारी केहवाय
सर्प बिल में रहता है।,साप दोरमा रे
इस तालाब में मगरमच्‍छ हैं।,आना ताळाव मा मगोर रे
पेड़ पर पक्षी बैठे हैं।,झाडका पर पक्षी बैठा
देखो बंदर नाच रहा है।,भालो वांदरो नाची रियो
चिडि़या चहचहा रही है।,चिडिया चु चु करे
मुझे चिडि़यों को दाना डालना है।,मारे सरकला ने दाणा नाखवाना से
आम पर तोता बैठा है।,आम्‍बा पर पोपट बैठो
खरगोश घास खा रहा है।,सेसलु खोड खायरू
हाथियों का झुंड आ रहा है।,हाथी नो झुंड आवी रियो
मैंने तोता पाला है।,मै पोपट पाळीयो
तोते को खाना देना है।,पोपट ने खावानु आलवु पडहे
मैं पिताजी के साथ मेला देखने गया।,हु बापा साथे मेळो भाळवा गेलो
मेला जाने के रास्‍ते में मैंने मदारी का खेल भी देखा।,मेळो भाळवा जाय तिने रास्‍ते मदारी नु खेल भाळयो
मेले में मैंने आसक्रीम और छोले खाये।,मेळा मां आइस्‍क्रीम ने छोला खादा
बहिन के लिये पिताजी समौसा लाये थे।,बुहन हारू बापो समोसा लायो
मम्‍मी के लिये साड़ी भी खरीदी।,मा हारू साडी भी लीदी
यह मेला मेरे गॉंव से 30 किमी दूर बैतूल जिले में भरता है।,ती मेळों मारा गाम ती 30 किलोमीटर सेटी बैतुल जिला मां भराय
यह मेला वर्ष में दो बार लगता है।,ती मेळो वराह मा बे वार भराय
कल मैं मेला देखने गया था।,काल हू मेलो भालवा गेलो
मेले में बहुत भीड़ थी।,मेळा मां भारी भीड हुती
मेले में मिठाई एवं खिलौने की बहुत दुकाने थी।,"मेळा मां मिठाई, रमकडा नी घणी दुकान हुती"
मेले में मैने झूला भी झूला।,मेळा मा हूँ हिसकलो भी हिस्‍यो
मेले में सर्कस भी था।,मेळा मां सर्कस भी हुतु
सर्कस में जादूगर ने कबूतर को सर्प बना दिया था।,सर्कस मां जादुगरे कबुतर ने सांप बणावी दिदो
मेले में मैंने बहुत सारी मिठाई खाई।,मेळा मां घणी बदी मिठाई खादी
मेले में रेलगाड़ी भी थी।,मेळा मां रेलवाई हुती
मुझे मेले में बहुत मजा आया।,मने मेळा मां भारी मजो आयो हो
मेले से पिताजी ने मुझे कपड़े भी दिलाये थे।,मेळा मां थी बापो मने सितरां अलाडीया
पिताजी ने बड़ी बहिन के लिये फ्रॉक भी खरीदी।,पिताजी ने मोटी बेन हारू फ्राक हदी लिदो
मैं आठवी कक्षा में पढ़ता हूँ।,हूं आठवी कक्षा मां भणु से
मेरे गांव का नाम नामठी है।,मारा गामनु नाम नामठी से
पिताजी मजदूरी करते हैं।,मारो बापो दाहडकी करे
मॉं घर का काम करती है।,मां घेर नु काम काज करे
परिवार में चार सदस्‍य हैं।,परिवार मां चार माणसु से
छोटी बहन पॉंचवी कक्षा में पढ़ती है।,नानी बुहुन पांचवी कक्षा मां भणे छे
